,body
183,'سهم دارند جمع میکنند آماده صعود شده / منتظر انرژی3 و کالا هست مقداری از اصلاح باقی مانده/ سهم هیچ نزول خاصی نداره در کف سهم هستیم . تحلیل فرابورس/انرژی3 ببینید'
184,'نماد بورس تا 690رفت پائین یه بالایی بهش زدن تا 879اومد بالا، اصلاح کرد رو یه کف بالاتر رو قیمت 730 نگهش داشتن تا ازاونطرف تو برگشت بتونه بالای 880تثبیت کنه نماد بورس فردا صف خرید خواهد شد واین سری تا 950 خواهد رفت'
185,'هم از نظر تکنیکال ، تابلو ، pE واصلاح قیمتی اصلاح زمانی، نگه داشتن قیمت چندروزه اخیر نماد رو730 همه نشان از صعود 25درصد نماد بورس داره فردا احتمالا تا صفر تابلو میارنش پائین تا خودشون خریدهاشون انجام بدهند بعد میزنند زیرش سریع میره برا صف خرید پس اگر فرابورس با مثبت 4باز شد نماد بورس با مثبت 1جای نگرانی نداره شرایط نماد بورس فعلا عالیه برای ورود بهترین گزینه است'
186,'انشالله ۸۰۰ تومان رو پرقدرت رد کنه'
187,'سلام عزیزان دقیقا مثل روز روشن بود که استارت سهم همین رنج هست
188,چون خیلی مقاومتش طول کشید 
189,البته اکثر سهم های بازار هم چون به کف رسیدن راکد بودن 
190,سهم بورس در این رنج قیمتی طلاست 
191,پتانسیل بالایی برای صعود داره
192,خداروشکر'
193,'منتظر استارت در بازار باشیم ظرف امروز و فردا'
194,'خب 736 ورود زدیم و نصبتارو خوب کردیم .به امید سود برای همه .از نظر روانی هر چه زمان بگذره میل به فروش کمتر میشه تا شنبه اینده ببینیم چه وضعی داره'
195,'با توجه به مقاومت شدید سهم در این قیمت معلوم شد صعود از همین قیمت صورت میگیره 
196,بیشتر امیدوار شدیم 
197,فکر نمی‌کردیم اینقدر مقاومت کنه 
198,انشاالله صعود نزدیکه'
199,'باید ۶۵۰تا۷۰۰یبار دیگه ببینه خرید حقوقی کامل شه کف دوقلو زده شه یه نوسان تپل حقوقی بگیره و مجدد برگرده نقطه اولش'
200,'فردا رالی شروع میشه 🤫'
201,'نماد بورس وناظر سهم باید جواب بدهند افزایش سرمایه از محل سود سهامداران بوده وباید صرف حمایت از قیمت سهم میشده که نشده شرکت خدماتی است کارخانه که نساختید پس باید شفاف وپاسخ قانع کننده بدهید'
202,'رهاورد چرا دردها را وانتقاد وسوالها را ثبت نمیکنی از خدا بترس سرمایه ما نابود شده نیم ساعت وقت میگذاریم تایپ میکنیم اونوقت از درج ان جلوگیری میکنی برای چی جواب بده'
203,'سود سال ۹۹ را که ۱۴ درصد انرا تقسیم کردید و۸۵درصد انرا با سودهای سال قبل که انباشته شده بود صرف افزایش سرمایه کردید بعداز چندماه با ۶۰درصد افزایش نماد را باز کردید مثل کالا وفرابورس عمل نکردید ودر قیمت ۱۶۰۰میلیونها سهم را فروختید واز سهم حمایت نکردید وقیمت را به پایین ترین قیمت رساندید حالا. در جواب میگویید معاملات کم شده وسود هم کم شده پس تکلیف سود ۹۹ چی شد بایستی با افزایش سرمایه ۲۵۰درصدی از سهم حمایت میکردید افزایش سرمایه برای سهامدارن که یکسال پیش تاکنون سهامدار هستند چه نفعی داشت باید شفاف توضیح دهید'
